Id,Label,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
81,Baird Capital,"Milwaukee, Wisconsin, United States",Active,,162.0,85.0,29.0,44.0,,,"Financial Services, Lending and Investments","Financial Services, Venture Capital",,,,,,,,,,,,,,,1.0,216.859,"306,382.5",254.0,,,,
82,Right Side Capital Management,"San Francisco, California, United States",Active,,1.228,36.0,313.0,173.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,2.804,,8.0,,,,
83,Skill Lync,"Chennai, Tamil Nadu, India",Active,For Profit,,,,,2.0,6.0,"Education, Software","E-Learning, EdTech, Education, Higher Education",3.0,Early Stage Venture,2021-08-03,17500000.0,USD,17500000.0,Series A,Series A,17500000.0,USD,17500000.0,17650000.0,USD,17650000.0,,322.413,"234,135.5",663.0,,,,"Y Combinator, Better Capital, Iron Pillar, Binny Bansal, Saikiran Krishnamurthy"
84,Qonto,"Paris, Ile-de-France, France",Active,For Profit,,,,,6.0,18.0,"Financial Services, Lending and Investments, Payments","Banking, Financial Services, FinTech, Payments",6.0,,2022-04-21,5000000.0,EUR,5417611.0,Equity Crowdfunding,Equity Crowdfunding,5000000.0,EUR,5417611.0,709348021.0,USD,709348021.0,,"2,230,574","2,021,703.17",1.069,,,,"Tencent, Gaingels, Eurazeo, Insight Partners, Tiger Global Management"
85,HarbourVest Partners,"Boston, Massachusetts, United States",Active,,239.0,40.0,8.0,138.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,3.0,27.452,"12,918.33",565.0,5694078.0,USD,5694078.0,
86,Horizons Ventures,"Hong Kong, Hong Kong Island, Hong Kong",Active,,289.0,127.0,29.0,41.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,4.118,"10,107.5",0.0,,,,
87,Credit Suisse,"ZÃ¼rich, Zurich, Switzerland",Active,For Profit,145.0,56.0,5.0,59.0,,,"Financial Services, Lending and Investments, Sales and Marketing","Banking, Financial Services, Personal Branding, Wealth Management",,IPO,,,,,,,,,,,,,32.0,"2,526,640","2,490,060.83",964.0,,,,
88,Massachusetts Life Sciences Center,"Waltham, Massachusetts, United States",Active,For Profit,160.0,143.0,24.0,7.0,,,"Biotechnology, Government and Military, Science and Engineering","Biotechnology, Government",2.0,,2019-05-01,2820000.0,USD,2820000.0,Grant,,,,,6220000.0,USD,6220000.0,,26.532,"13,646.33",240.0,405171.0,USD,405171.0,
89,Twitter,"San Francisco, California, United States",Active,For Profit,10.0,2.0,1.0,3.0,9.0,37.0,"Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications","Blogging Platforms, Messaging, SMS, Social Media",19.0,IPO,2022-03-04,2890000000.0,USD,2890000000.0,Post-IPO Equity,Post-IPO Equity,2890000000.0,USD,2890000000.0,4430191511.0,USD,4430191511.0,77.0,"6,026,399,205","3,104,998,131.33",942.0,,,,"Andreessen Horowitz, Morgan Stanley, Spark Capital, Union Square Ventures, Insight Partners"
90,K3 Ventures,"Singapore, Central Region, Singapore",Active,,62.0,3.0,1.0,7.0,,,"Financial Services, Information Technology, Lending and Investments","Finance, Financial Services, Information Technology, Venture Capital",,,,,,,,,,,,,,,,4.425,1.805,694.0,,,,
91,Global Ventures,"Dubai, Dubai, United Arab Emirates",Active,For Profit,52.0,32.0,2.0,1.0,1.0,1.0,"Financial Services, Information Technology, Lending and Investments, Privacy and Security","Cyber Security, Finance, Financial Services, Venture Capital",1.0,,2022-01-16,1500000.0,USD,1500000.0,Undisclosed,Undisclosed,1500000.0,USD,1500000.0,1500000.0,USD,1500000.0,,187.963,"109,200.5",152.0,,,,Innovative Startups and SMEâ€™s Fund (ISSF)
92,Sedgwick Claims Management Services,"Memphis, Tennessee, United States",Active,For Profit,4.0,2.0,,,1.0,2.0,"Financial Services, Lending and Investments, Professional Services","Banking, Insurance, Risk Management",3.0,M&A,2018-12-01,,,,Private Equity,Private Equity,,,,501781043.0,USD,501781043.0,1.0,"1,157,610",475.878,628.0,227923655.0,USD,227923655.0,"Caisse de Depot et Placement du Quebec, Canada Pension Plan Investment Board"
93,Corner Ventures,"Palo Alto, California, United States",Active,,35.0,18.0,1.0,4.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,2.651,,0.0,,,,
94,QueensBridge Venture Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Vista Equity Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,MassChallenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Greenoaks Capital,"San Francisco, California, United States",Active,For Profit,95.0,51.0,5.0,7.0,,,"Financial Services, Lending and Investments","Banking, Finance, Financial Services, Impact Investing, Venture Capital",,,,,,,,,,,,,,,,1.965,,0.0,,,,
98,Breega,"London, England, United Kingdom",Active,,87.0,47.0,1.0,8.0,,,"Financial Services, Other","Blockchain, FinTech",,,,,,,,,,,,,,,,4.432,"3,296.83",10.0,,,,
99,Point Nine,"Berlin, Berlin, Germany",Active,,232.0,58.0,11.0,33.0,,,"Commerce and Shopping, Financial Services, Lending and Investments, Software","Marketplace, SaaS, Venture Capital",,,,,,,,,,,,,,,2.0,10.154,"10,253.67",66.0,,,,
100,Riot Games,"Los Angeles, California, United States",Active,For Profit,20.0,5.0,2.0,3.0,3.0,4.0,"Consumer Electronics, Gaming, Hardware, Software","Computer, Developer Platform, PC Games, Video Games",5.0,M&A,2018-12-31,6000000.0,USD,6000000.0,Venture - Series Unknown,Venture - Series Unknown,6000000.0,USD,6000000.0,21000000.0,USD,21000000.0,1.0,"66,053,297","76,804,878.67",360.0,,,,"Tencent, HAX, FirstMark, Benchmark"
101,Knock,"New York, New York, United States",Active,For Profit,,,,,4.0,17.0,"Financial Services, Real Estate","FinTech, Lending, Real Estate",8.0,,2022-03-15,150000000.0,USD,150000000.0,Debt Financing,Venture - Series Unknown,70000000.0,USD,70000000.0,654500000.0,USD,654500000.0,1.0,161.603,"256,340.17",237.0,,,,"Redpoint, RRE Ventures, Foundry Group, FJ Labs, Corazon Capital"
102,SOSV,"Princeton, New Jersey, United States",Active,,2.304,967.0,383.0,56.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,5.0,16.589,28.925,40.0,541806.0,USD,541806.0,
103,Alpha Wave Global,"New York, New York, United States",Active,,78.0,47.0,2.0,4.0,,,"Financial Services, Lending and Investments, Professional Services","Asset Management, Business Development, Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,1.955,,563.0,,,,
104,Samos Investments,"London, England, United Kingdom",Active,,52.0,15.0,1.0,4.0,,,"Commerce and Shopping, Financial Services, Lending and Investments","Financial Services, Retail, Venture Capital",,,,,,,,,,,,,,,,470,,0.0,,,,
105,Amagi Media Labs,"New York, New York, United States",Active,For Profit,,,,,4.0,8.0,"Advertising, Media and Entertainment, Other, Video","Advertising Platforms, B2B, Media and Entertainment, TV",6.0,,2022-03-16,95000000.0,USD,95000000.0,Venture - Series Unknown,Venture - Series Unknown,95000000.0,USD,95000000.0,240200000.0,USD,240200000.0,1.0,38.447,20.502,692.0,,,,"Norwest Venture Partners, Accel, Mayfield Fund, PremjiInvest, Avataar Venture Partners"
106,Cyberstarts,"Mikhmoret, HaMerkaz, Israel",Active,,24.0,7.0,1.0,1.0,,,"Financial Services, Information Technology, Lending and Investments, Privacy and Security","Cyber Security, Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,2.788,"3,991.83",9.0,,,,
107,Stax,"Orlando, Florida, United States",Active,For Profit,,,,,2.0,10.0,"Financial Services, Mobile, Payments, Software","Financial Services, Mobile Payments, Payments, Software, Transaction Processing",5.0,Late Stage Venture,2022-03-08,245000000.0,USD,245000000.0,Series D,Series D,245000000.0,USD,245000000.0,263250000.0,USD,263250000.0,,92.822,"107,009.67",359.0,,,,"HarbourVest Partners, venVelo, DeepWork Capital, Fulcrum Equity Partners, Greater Sum Ventures"
108,Beyond Net Zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Declaration Partners,"New York, New York, United States",Active,For Profit,27.0,7.0,2.0,1.0,,,"Financial Services, Real Estate","Finance, Financial Services, Real Estate Investment",,,,,,,,,,,,,,,,5.026,,0.0,,,,
110,Blockdaemon,"Los Angeles, California, United States",Active,For Profit,1.0,1.0,,,9.0,41.0,"Financial Services, Other, Payments, Software","Bitcoin, Blockchain, Cryptocurrency, Ethereum",9.0,,2022-04-14,,,,Venture - Series Unknown,Venture - Series Unknown,,,,398230000.0,USD,398230000.0,3.0,34.087,"32,699.33",449.0,,,,"Comcast, Voyager, Goldman Sachs, Lerer Hippeau, Tiger Global Management"
111,Flourish Ventures,"Redwood City, California, United States",Active,,121.0,14.0,15.0,5.0,,,"Financial Services, Lending and Investments","Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,,6.59,"5,496.5",1.374,,,,
112,Bolttech,"Singapore, Central Region, Singapore",Active,For Profit,1.0,1.0,,,4.0,9.0,"Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software","Artificial Intelligence, Financial Services, FinTech, Insurance, InsurTech",3.0,Early Stage Venture,2021-12-06,,,,Series A,Series A,,,,210000000.0,USD,210000000.0,,479.78,"89,534.5",394.0,,,,"EDBI, Activant Capital, Alma Mundi Ventures, Tarsadia Investments, Tony Fadell"
113,Fannie Mae,"Washington, District of Columbia, United States",Active,For Profit,4.0,1.0,1.0,2.0,,,"Financial Services, Lending and Investments, Real Estate","Credit, Financial Services, Real Estate",,IPO,,,,,,,,,,,,,3.0,"1,469,502","1,170,149.33",566.0,10795271185.0,USD,10795271185.0,
114,Grafana Labs,"New York, New York, United States",Active,For Profit,,,,,4.0,6.0,"Data and Analytics, Design, Information Technology, Internet Services, Software","Cloud Data Services, Data Visualization, Open Source, Software",5.0,Late Stage Venture,2022-04-06,240000000.0,USD,240000000.0,Series D,Series D,240000000.0,USD,240000000.0,535230000.0,USD,535230000.0,8.0,"2,499,962","2,462,631.5",507.0,116278.0,USD,116278.0,"JP Morgan, Sequoia Capital, Coatue, Lightspeed Venture Partners, GIC"
115,Dreamit Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Ford Motor,"Dearborn, Michigan, United States",Active,For Profit,26.0,11.0,1.0,9.0,,,"Manufacturing, Transportation","Automotive, Autonomous Vehicles, Manufacturing, Transportation",,IPO,,,,,,,,,,,,,29.0,,,,,,,
117,PactVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,AlbionVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Crosscut Ventures,"Los Angeles, California, United States",Active,,144.0,38.0,48.0,23.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,1.0,374,"3,014.67",11.0,,,,
120,PSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Tarana Wireless,"Milpitas, California, United States",Active,For Profit,,,,,4.0,16.0,"Hardware, Mobile","Communications Infrastructure, Mobile, Wireless",8.0,,2022-03-23,170000000.0,USD,170000000.0,Venture - Series Unknown,Venture - Series Unknown,170000000.0,USD,170000000.0,376142157.0,USD,376142157.0,2.0,63.602,"127,739.67",1.764,153640.0,USD,153640.0,"Khosla Ventures, K3 Ventures, I Squared Capital, DTCP, DIRECTV"
123,Broadridge,"New York, New York, United States",Active,For Profit,7.0,1.0,,,,,"Financial Services, Information Technology, Professional Services, Software","Enterprise Software, Finance, Information Technology, Outsourcing, Software",2.0,IPO,2021-05-17,1000000000.0,USD,1000000000.0,Post-IPO Debt,,,,,1750000000.0,USD,1750000000.0,5.0,"4,611,818","1,230,271.33",867.0,749055000.0,USD,749055000.0,
124,Accenture Ventures,"San Francisco, California, United States",Active,,26.0,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Venovate,"San Diego, California, United States",Active,For Profit,1.0,1.0,,,,1.0,"Commerce and Shopping, Financial Services","Crowdfunding, Financial Services, FinTech, Marketplace",1.0,M&A,2014-01-01,,,,Seed,Seed,,,,,,,,,,,,,,9+ Program
126,MANTIS Venture Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Grab,"Singapore, Central Region, Singapore",Active,For Profit,9.0,7.0,,2.0,24.0,70.0,"Food and Beverage, Transportation","Car Sharing, Food Delivery, Ride Sharing, Transportation",35.0,IPO,2021-12-02,4000000000.0,USD,4000000000.0,Post-IPO Equity,Post-IPO Equity,4000000000.0,USD,4000000000.0,15522750000.0,USD,15522750000.0,4.0,"16,533,778","14,215,655.83",482.0,,,,"SoftBank, Invesco, Microsoft, HSBC, 500 Startups"
128,Instoried,"Bangalore, Karnataka, India",Active,For Profit,,,,,6.0,14.0,"Information Technology, Software","Information Technology, Software",8.0,Early Stage Venture,2022-04-07,200000000.0,USD,200000000.0,Debt Financing,Series A,10000000.0,USD,10000000.0,219500000.0,USD,219500000.0,1.0,69.468,"22,981.5",1.029,,,,"Venture Catalysts, EXPERT DOJO, 9Unicorns Accelerator Fund, Mumbai Angels, Artesian VC"
129,AngelList,"San Francisco, California, United States",Active,For Profit,112.0,10.0,18.0,14.0,5.0,50.0,"Financial Services, Internet Services, Lending and Investments","Angel Investment, Financial Services, Internet",7.0,Early Stage Venture,2022-04-22,44000000.0,USD,44000000.0,Series B,Series B,44000000.0,USD,44000000.0,170200000.0,USD,170200000.0,2.0,"4,853,001","4,717,251",692.0,,,,"Andreessen Horowitz, 500 Startups, GV, Tiger Global Management, Slow Ventures"
130,Social Impact Capital,"New York, New York, United States",Active,,39.0,5.0,14.0,2.0,,,,,,,,,,,,,,,,,,,1.0,294,,1.0,,,,
131,Pocket FM,"Bengaluru, Karnataka, India",Active,For Profit,,,,,6.0,10.0,"Apps, Information Technology, Media and Entertainment, Music and Audio, Software","Apps, Digital Entertainment, Information Technology, Podcast, Software",5.0,Late Stage Venture,2022-03-03,4920000000.0,INR,64833198.0,Series C,Series C,4920000000.0,INR,64833198.0,93516015.0,USD,93516015.0,,14.461,"11,290.5",68.0,,,,"Tencent, Naver, Goodwater Capital, Lightspeed Venture Partners, Times Internet"
132,Evolvence India Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,AgentSync,"Denver, Colorado, United States",Active,For Profit,,,,,4.0,19.0,"Financial Services, Information Technology, Professional Services, Sales and Marketing, Software","Compliance, Information Technology, Insurance, SaaS, Sales, Software",4.0,Early Stage Venture,2021-12-07,75000000.0,USD,75000000.0,Series B,Series B,75000000.0,USD,75000000.0,111100000.0,USD,111100000.0,,62.365,"16,267.5",339.0,,,,"Tiger Global Management, Anthemis Group, Craft Ventures, Valor Equity Partners, Caffeinated Capital"
134,Seraphim Capital,"London, England, United Kingdom",Active,,83.0,34.0,1.0,9.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,7.181,"5,651.33",333.0,,,,
135,Atlantic Bridge,"Dublin, Dublin, Ireland",Active,,107.0,46.0,16.0,27.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,592,"1,419.83",0.0,,,,
136,Qiming Venture Partners,"Shanghai, Shanghai, China",Active,,765.0,408.0,13.0,65.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,1.0,6.377,"4,434.83",21.0,,,,
137,News Corp,"New York, New York, United States",Active,For Profit,27.0,13.0,2.0,13.0,,1.0,"Content and Publishing, Education, Information Technology, Media and Entertainment","Education, Information Services, News, Publishing",3.0,IPO,2022-02-08,500000000.0,USD,500000000.0,Post-IPO Debt,Venture - Series Unknown,12500000.0,USD,12500000.0,512500000.0,USD,512500000.0,2.0,145.464,"59,301.5",308.0,,,,Liberty Media
138,IndiaMART,"Noida, Uttar Pradesh, India",Active,For Profit,13.0,6.0,,1.0,3.0,10.0,"Commerce and Shopping, Other, Transportation","B2B, E-Commerce, Marketplace, Procurement, Small and Medium Businesses",4.0,IPO,2019-06-24,2136000000.0,INR,30839799.0,Venture - Series Unknown,Venture - Series Unknown,2136000000.0,INR,30839799.0,40839800.0,USD,40839800.0,,"49,292,565","43,760,357.5",515.0,,,,"Quona Capital, Elevation Capital, WestBridge Capital, Intel Capital, Amadeus Capital Partners"
139,Amino Capital,"Palo Alto, California, United States",Active,,119.0,29.0,23.0,18.0,,,"Data and Analytics, Information Technology, Internet Services, Software","Big Data, Business Intelligence, Cloud Data Services, Enterprise Software",,,,,,,,,,,,,,,,2.643,,11.0,,,,
140,Heartcore Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Next Play Capital,"Redwood City, California, United States",Active,,43.0,,12.0,8.0,,,"Financial Services, Lending and Investments","Financial Services, FinTech, Impact Investing, Venture Capital",,,,,,,,,,,,,,,1.0,6.956,2.813,0.0,,,,
142,Courtside Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,In-Q-Tel,"Arlington, Virginia, United States",Active,,249.0,66.0,20.0,92.0,,,"Financial Services, Lending and Investments, Other","Finance, Non Profit, Venture Capital",,,,,,,,,,,,,,,1.0,18.631,11.535,533.0,885464.0,USD,885464.0,
144,Day One Capital,"Budapest, Budapest, Hungary",Active,,34.0,8.0,,5.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,2.881,,0.0,,,,
145,Span.IO,"San Francisco, California, United States",Active,For Profit,,,,,6.0,21.0,"Energy, Hardware, Internet Services, Software, Sustainability","Energy, Hardware, Internet of Things, Renewable Energy, Software",5.0,Early Stage Venture,2022-03-22,90000000.0,USD,90000000.0,Series B,Series B,90000000.0,USD,90000000.0,133800000.0,USD,133800000.0,,65.619,"44,505.83",233.0,,,,"Fifth Wall, FootPrint Coalition, Ulu Ventures, Wellington Management, TDK Ventures"
146,Cisco,"San Jose, California, United States",Active,For Profit,214.0,49.0,21.0,100.0,1.0,1.0,"Hardware, Software","Communications Infrastructure, Enterprise Software, Hardware",1.0,IPO,1987-01-01,2500000.0,USD,2500000.0,Series A,Series A,2500000.0,USD,2500000.0,2500000.0,USD,2500000.0,424.0,"35,589,625","31,540,157.67",871.0,,,,Sequoia Capital
147,Veriff,"Tallinn, Harjumaa, Estonia",Active,For Profit,,,,,7.0,18.0,"Financial Services, Information Technology, Payments, Privacy and Security","Cyber Security, Fraud Detection, Identity Management, Information Technology",7.0,Late Stage Venture,2022-01-26,100000000.0,USD,100000000.0,Series C,Series C,100000000.0,USD,100000000.0,192320000.0,USD,192320000.0,3.0,517.881,183.264,391.0,,,,"Y Combinator, Tiger Global Management, Accel, Elad Gil, Ashton Kutcher"
148,Maveron,"San Francisco, California, United States",Active,,280.0,75.0,72.0,63.0,,,"Financial Services, Hardware, Lending and Investments, Other, Software","Consumer, FinTech, Venture Capital, Virtual Reality",,,,,,,,,,,,,,,1.0,5.23,"6,936.17",990.0,,,,
149,Slack,"San Francisco, California, United States",Active,For Profit,24.0,8.0,3.0,2.0,10.0,46.0,"Information Technology, Internet Services, Messaging and Telecommunications, Other, Software","Collaboration, Enterprise Software, Messaging, Productivity Tools",14.0,M&A,2019-01-28,,,,Secondary Market,Series H,427000000.0,USD,427000000.0,1391100000.0,USD,1391100000.0,46.0,"61,611,714","59,366,646.17",501.0,,,,"Andreessen Horowitz, Spark Capital, FundersClub, GV, Initialized Capital"
150,Sales Impact Academy,"Seattle, Washington, United States",Active,For Profit,,,,,3.0,5.0,,,5.0,Seed,2022-03-30,16000000.0,USD,16000000.0,Convertible Note,Seed,3000000.0,USD,3000000.0,26391950.0,USD,26391950.0,,4.436,"5,093.5",20.0,,,,"Massachusetts Institute of Technology, Emerge Education, Stage 2 Capital, HubSpot Ventures, Round2 Capital Partners"
151,Valor Capital Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Omega Funds,"Boston, Massachusetts, United States",Active,,118.0,25.0,19.0,58.0,,,"Biotechnology, Financial Services, Lending and Investments, Science and Engineering","Biotechnology, Venture Capital",,,,,,,,,,,,,,,,5.016,,3.0,,,,
